rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Run,Row,1RM Strict Press,3RM Back Squat,5RM Deadlift
129,01kcvvrkas2zyr8c1rhxdq9frs,Atchroue,Johsnon,Atchroue Johsnon,Male,,,https://athxgames.com/storage/profile-photos/nznf2oWV2qeRZ4TaV4Ro1GexkxUggCVoYU8QEo6h.jpg,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,150KG,180KG
129,01kdbg9hbqgv0jdf7k1drqe1v9,Sullivan,LABORDE,Sullivan LABORDE,Male,France,,https://ui-avatars.com/api/?name=S+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,130KG,210KG
129,01kpnkbz5f37sbnegdfbvb4r5b,Alonzo,Benard,Alonzo Benard,Male,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,160KG,170KG
129,01kpk6dnx17kg07m73brkvc84t,Guatnaoui,Elias,Guatnaoui Elias,Male,,,https://ui-avatars.com/api/?name=G+E&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,160KG,180KG
129,01kpnmkmqhesr5w366wnnpcfga,Yoann,Prieur,Yoann Prieur,Male,France,,https://athxgames.com/storage/profile-photos/kkqOMCpIBOCk6HsAEg3ywAchjcYyIZYMpzbgd0f4.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,150KG,180KG
129,01kq7e8ef7dc76z23tnxb9s21y,david,schrive,david schrive,Male,France,Blackside Brignoles,https://ui-avatars.com/api/?name=d+s&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,150KG,180KG
129,01kqjc19cjx32a1ajzt4ha00c5,Dragomir,Gudumac,Dragomir Gudumac,Male,,,https://ui-avatars.com/api/?name=D+G&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,140KG,200KG
129,01kqfzewm4rxfc4c9xkcdg9cgv,Léon,Rialland,Léon Rialland,Male,,,https://ui-avatars.com/api/?name=L+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,90KG,140KG,180KG
142,01knz03rdqyxsvqrwevs6yw6n5,Jb,Coze,Jb Coze,Male,,,https://ui-avatars.com/api/?name=J+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,63KG,155KG,190KG
142,01kz6vksncnqgwzm5h0s7xsqte,Stelio,Parmigiani,Stelio Parmigiani,Male,Switzerland,BV gym,https://athxgames.com/storage/profile-photos/krlpUx0UIJ3vxbBOeGr24wURm4oayVRqTD7fFakK.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,98KG,130KG,180KG
142,01knq6b21ntjqg09vxe95wny0e,Florian,Ricard,Florian Ricard,Male,,,https://ui-avatars.com/api/?name=F+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,68KG,150KG,190KG
145,01kccrce97jctkk1qcrdjcdg2s,Pierre,Butkus,Pierre Butkus,Male,France,CrossFit Estuary,https://athxgames.com/storage/profile-photos/DK0dHfnHdiEQ9LYjZovWQEYQH18E6HuNm8p951Xl.jpg,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,65KG,147KG,195KG
146,01kftb616r5srjx7qehn47tsrs,Christian,Puntel,Christian Puntel,Male,Italy,Tahi Crossfit,https://ui-avatars.com/api/?name=C+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,140KG,180KG
146,01kpwym1a1b67gjf2ej99vca1a,Arthur,Degois,Arthur Degois,Male,,,https://ui-avatars.com/api/?name=A+D&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,140KG,190KG
146,01kprxr15hy3dx8xsvtskkgspx,São alvyn,Nelson,São alvyn Nelson,Male,,,https://ui-avatars.com/api/?name=S+a+N&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,120KG,200KG
146,01kjqkq1bv2wphp02q1xqm34wf,Anthony,Lespade,Anthony Lespade,Male,,,https://ui-avatars.com/api/?name=A+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,145KG,180KG
146,01knrer57sq7pkepdbyte3g86b,Celestin,Alexis,Celestin Alexis,Male,,,https://ui-avatars.com/api/?name=C+A&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,65KG,150KG,190KG
146,01kpnkbwkgqrk5drhds4f5ara6,Albert,Hoeger,Albert Hoeger,Male,,,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,140KG,190KG
146,01kckssav4cnhfmyt85gmrx2qh,Julian,Siller,Julian Siller,Male,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,160KG,170KG
146,01kgeb0n7958p6ed2rywckh043,Lebbe,JONATHAN,Lebbe JONATHAN,Male,France,,https://ui-avatars.com/api/?name=L+J&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,150KG,175KG
146,01kpram3bq41xgwnvntvq3ktx4,Quentin,Lorie,Quentin Lorie,Male,,,https://ui-avatars.com/api/?name=Q+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,165KG,160KG
146,01kxp7tegabxtrm9c417vzmg3g,Morvan,Dohen,Morvan Dohen,Male,,,https://ui-avatars.com/api/?name=M+D&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,160KG,170KG
146,01ks544z1q8mfpahkrtmc690t0,Gaëtan,L’HUILLIER,Gaëtan L’HUILLIER,Male,,,https://ui-avatars.com/api/?name=G+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,95KG,140KG,170KG
146,01knvgersnkf6brzbx4r26apzg,Amine,Barouni,Amine Barouni,Male,Tunisia,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,73KG,150KG,182KG
146,01kgah50yzcqgfdnq8nvqwtmkd,Dylan,Leygue,Dylan Leygue,Male,,,https://ui-avatars.com/api/?name=D+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,65KG,160KG,180KG
146,01kgdez3h5ndpvhsama3a0mwdv,Erwan,Coppola,Erwan Coppola,Male,,,https://ui-avatars.com/api/?name=E+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,145KG,180KG
146,01kptt0wn971trakxn5h15nz5s,Amaury,Giraud,Amaury Giraud,Male,,,https://ui-avatars.com/api/?name=A+G&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,160KG,170KG
161,01k6342ae7ganh2hjmdykst8f1,Mathieu,Facchini,Mathieu Facchini,Male,France,Aix Athletic Club,https://ui-avatars.com/api/?name=M+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,68KG,145KG,190KG
161,01m0mfbztcvf6kbvq4qxa4fyb3,Jean-Laurent,BATTAGLINI,Jean-Laurent BATTAGLINI,Male,,,https://ui-avatars.com/api/?name=J+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,153KG,180KG
163,01kp492vzmvvmmz8ndrn5phea0,Florian,Dub,Florian Dub,Male,,,https://ui-avatars.com/api/?name=F+D&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,150KG,181KG
164,01kc43ky53dyx33gd88ksjh2xd,Vivian,Atchou,Vivian Atchou,Male,,,https://ui-avatars.com/api/?name=V+A&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,130KG,200KG
164,01knc9yk4s97av1kekb2ah4e2e,Julien,Langlois,Julien Langlois,Male,,,https://ui-avatars.com/api/?name=J+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,150KG,180KG
164,01ka3mhf15bp7tfhpr90mtmwqy,Thibaut,BORDIER CHENE,Thibaut BORDIER CHENE,Male,France,GAVROCHE FITNESS,https://ui-avatars.com/api/?name=T+B+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,160KG,170KG
164,01kmsr7nffqsjez6dc9302m9t8,Ronan,PINSON,Ronan PINSON,Male,,,https://ui-avatars.com/api/?name=R+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,140KG,175KG
164,01k42wjmxmenhgp29cpg6mz755,Lance,Ogunyode,Lance Ogunyode,Male,,,https://ui-avatars.com/api/?name=L+O&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,150KG,180KG
164,01kycty98xdn9w61yq5tq0gekz,Alejandro José,Jiménez González,Alejandro José Jiménez González,Male,,,https://ui-avatars.com/api/?name=A+J+J+G&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,140KG,190KG
164,01m0mg4rgc7dj86nk6b3eh8s4s,Harrison,Louyat,Harrison Louyat,Male,France,WOHO,https://athxgames.com/storage/profile-photos/pbg8l1k50R75hVFOi8V6ytiGlGpFbd5Gmcoo9fV5.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,150KG,175KG
164,01khb7vv4mn10cp36xbta0egxp,Thomas,Pradines,Thomas Pradines,Male,,,https://ui-avatars.com/api/?name=T+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,140KG,180KG
