rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
17,Ryan Burnison & Ciaran Murray,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:39,,,,,,17
18,Lewis North & David Wilson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:44,,,,,,18
19,Joel Morris & Noah Callaghan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:55,,,,,,19
20,Mike Murphy & James Walsh,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:01,,,,,,20
21,Danny Smith & David Holden,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:03,,,,,,21
22,Adam James & Jack Bennett,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:04,,,,,,22
23,Sean Armstrong & Daniel Mee,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:05,,,,,,23
24,Morgan Stanford & andrew phillips,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:07,,,,,,24
25,Sam Cload & Callum Cload,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:10,,,,,,25
26,Samuel Gleeson & James Tyas,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:11,,,,,,26
27,Adam Bannister & Lee Draper,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:17,,,,,,27
28,Dan Good & Travis Bowley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:18,,,,,,28
29,Simon Pincock & James Grimee,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:22,,,,,,29
30,Ross Harding & Liam Clark,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:27,,,,,,30
31,Chris Mill & Jamie Ryan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:33,,,,,,31
32,Matthew Grellier & Daniel Thompson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:37,,,,,,32
33,Rob King & LEWIS Pike,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:38,,,,,,33
34,Richard Bennett & Ross Baker,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:53,,,,,,34
35,Chris Djaelani & Kerry Osullivan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,13:54,,,,,,35
36,Aaron Edwards & arranaro Team,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:12,,,,,,36
37,Miles Caswell & Keagan Taylor,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:15,,,,,,37
38,Scott Taylor & Gavin Denning,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:16,,,,,,38
39,Paul Challoner & Stephen Bell,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:17,,,,,,39
40,Paul Grattage & mark metcalfe,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:21,,,,,,40
41,Brett McCall & Andrew French,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:26,,,,,,41
42,Jake Wood & Brett Peel,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:27,,,,,,42
43,Tony Noble & Jake Hankins,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:32,,,,,,43
44,jack bradstreet & Harry Bradstreet,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:42,,,,,,44
45,Russ Wrigley & chris templeman,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,14:53,,,,,,45
46,Gary Sharlott & Keith Garner,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:00,,,,,,46
47,James Cullen & Ian Ledieu,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:12,,,,,,47
48,Craig Brown & Asim Jani,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:25,,,,,,48
49,Steve Perry-Dehaney & Timothy Duckett,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:27,,,,,,49
50,Oliver Blake & James Lynch,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:38,,,,,,50
51,Jason Molloy & Glyn Broadhurst,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:46,,,,,,51
52,David Long & Christian Lester,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,15:52,,,,,,52
53,Zaid Al-Chalabi & john duckworth,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:02,,,,,,53
54,Vinny Kamara & Ola Sogbanmu,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:08,,,,,,54
55,Tim Parish & Mike Dunderdale,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:21,,,,,,55
55,Jack Wilkinson & Justin Kirk,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:21,,,,,,55
57,Dan Fisher & Nathan Morris,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:36,,,,,,57
57,Richard Apps & Ian Lock,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:36,,,,,,57
59,Andy Leeding & Raj Josan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,16:58,,,,,,59
60,Mark Lynch & Dale Johnson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,17:27,,,,,,60
61,Ant Morlandez & John Parker,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,18:11,,,,,,61
62,Rob Brown & Stuart Pannell,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,18:27,,,,,,62
63,Dean Attwell & Stuart Starkey,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,19:11,,,,,,63
64,Mark Roe & Alistair Maag,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,19:52,,,,,,64
65,Tobie kottman & Glyn Loveday,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,20:06,,,,,,65
66,Paul Simmons & Craig Windsor,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,21:56,,,,,,66
67,Paul Love & Gavin Wright,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,23:29,,,,,,67
68,Peter Higgins & Alan Hutchison,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,23:30,,,,,,68
69,David Wallis & Anthony Reardon,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,26:13,,,,,,69
1,Gabbi Wheatley & Jacob Beaney,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,2 (334KG),4 (16.847KM),1 (12:23),,,,,,7
2,Scott Davies & Lisa Davies,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,4 (262KG),3 (17.145KM),2 (13:14),,,,,,9
3,Sally Shareef & Tom Williams,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,9 (235KG),2 (17.299KM),3 (13:29),,,,,,14
4,Matt Walsh & Emma Jenyons,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,12 (225KG),1 (17.609KM),4 (13:47),,,,,,17
5,Sophie McMahon & GERARD OCONNOR,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,7 (245KG),5 (16.846KM),5 (15:03),,,,,,17
6,Lisa Gabb & Tony Chorley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,3 (294KG),8 (16.084KM),8 (15:52),,,,,,19
7,MARIA DE SOUZA & Joe Adams,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,6 (252KG),11 (15.749KM),6 (15:22),,,,,,23
8,Josi Sandhaus & Alex Haberberger,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,8 (240KG),7 (16.147KM),10 (16:27),,,,,,25
9,dean roberts & Katy Small,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,1 (355KG),14 (14.643KM),13 (17:54),,,,,,28
10,Becky Cooke & James Agnew,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,13 (220KG),6 (16.299KM),9 (16:05),,,,,,28
11,Keiran Johnson & Natasha Buttler,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,4 (262KG),12 (15.735KM),14 (18:00),,,,,,30
12,Frances Howard & Lee Idzi,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,10 (233KG),9 (16.026KM),12 (16:40),,,,,,31
13,Jack Linstead & Michelle Matthews,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,11 (230KG),10 (15.954KM),11 (16:36),,,,,,32
14,Karl Marshall & Victoria Green,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Lite,Overall,14 (202KG),13 (14.89KM),7 (15:29),,,,,,34
1,Lizzie Hall & Lizzie White,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,MetCon X,,,11:48,,,,,,1
2,Clare Shepherd & Rebecca Scofield,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,MetCon X,,,14:07,,,,,,2
3,Kat Wilson & Ruth Davidson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,MetCon X,,,15:10,,,,,,3
4,Jade Brier & Nicolle Grant,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,MetCon X,,,15:22,,,,,,4
5,Maxine Walker & sarah delieu,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Pro,MetCon X,,,16:00,,,,,,5
1,Aileen McCann & Baz gouldsbury,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,04:50,,,,,,1
2,Chandler Smith & Jessie Smith,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,10:13,,,,,,2
3,Emma Häggström & Adam Selmani,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,11:52,,,,,,3
4,Karim Djidel & Robin Swinkels,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,12:20,,,,,,4
5,Anna Donauer & Lars Jakobeit,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,12:26,,,,,,5
6,Keziah Campbell & Will Smith,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,13:02,,,,,,6
7,Dan Lapping & Melanie Bradley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,13:10,,,,,,7
8,Tim Cima & Holly Buckley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,14:18,,,,,,8
9,Megan Chillmaid & Connor Flynn,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,14:43,,,,,,9
10,Graham Keenan & yasmin Team,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,15:14,,,,,,10
11,Jade Smith & Danny McFaden,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Mixed,ATHX Pro,MetCon X,,,16:06,,,,,,11
